record_id,gt,matched_pred,match_iou,is_good_crop,qwen_pred,qwen_bucket,hard_pred,hard_bucket,champ_pred,champ_bucket,qveto_pred,qveto_bucket,qwen_correct,hard_correct,champ_correct,qveto_correct,champ_change_type,hard_change_type
train_img1_ann1,defect_broken,val_img1_pred1,0.7876757153884054,True,defect_flashover,vlm_error_on_good_pred_crop,defect_flashover,vlm_error_on_good_pred_crop,defect_broken,correct_pipeline_hit,defect_flashover,vlm_error_on_good_pred_crop,False,False,True,False,helped,both_wrong
train_img1_ann2,defect_broken,val_img1_pred14,0.9287355472918608,True,defect_flashover,vlm_error_on_good_pred_crop,defect_flashover,vlm_error_on_good_pred_crop,defect_broken,correct_pipeline_hit,defect_flashover,vlm_error_on_good_pred_crop,False,False,True,False,helped,both_wrong
train_img1_ann3,insulator_ok,val_img1_pred12,0.9358399199436608,True,defect_broken,vlm_error_on_good_pred_crop,defect_flashover,vlm_error_on_good_pred_crop,defect_broken,vlm_error_on_good_pred_crop,defect_flashover,vlm_error_on_good_pred_crop,False,False,False,False,both_wrong,both_wrong
train_img1_ann4,insulator_ok,val_img1_pred3,0.959222385675818,True,defect_flashover,vlm_error_on_good_pred_crop,insulator_ok,correct_pipeline_hit,insulator_ok,correct_pipeline_hit,insulator_ok,correct_pipeline_hit,False,True,True,True,helped,helped
train_img1_ann5,insulator_ok,val_img1_pred4,0.8870217243522784,True,insulator_ok,correct_pipeline_hit,defect_flashover,vlm_error_on_good_pred_crop,defect_broken,vlm_error_on_good_pred_crop,insulator_ok,correct_pipeline_hit,True,False,False,True,hurt,hurt
train_img1_ann6,insulator_ok,val_img1_pred5,0.9745897973602016,True,defect_flashover,vlm_error_on_good_pred_crop,defect_flashover,vlm_error_on_good_pred_crop,defect_broken,vlm_error_on_good_pred_crop,defect_flashover,vlm_error_on_good_pred_crop,False,False,False,False,both_wrong,both_wrong
train_img3_ann15,insulator_ok,val_img2_pred18,0.941861794551998,True,insulator_ok,correct_pipeline_hit,insulator_ok,correct_pipeline_hit,insulator_ok,correct_pipeline_hit,insulator_ok,correct_pipeline_hit,True,True,True,True,both_correct,both_correct
train_img3_ann16,insulator_ok,val_img2_pred1,0.8931396693048876,True,defect_broken,vlm_error_on_good_pred_crop,defect_broken,vlm_error_on_good_pred_crop,defect_broken,vlm_error_on_good_pred_crop,defect_broken,vlm_error_on_good_pred_crop,False,False,False,False,both_wrong,both_wrong
train_img3_ann17,defect_broken,val_img2_pred2,0.7968117538501568,True,defect_broken,correct_pipeline_hit,defect_broken,correct_pipeline_hit,defect_broken,correct_pipeline_hit,defect_broken,correct_pipeline_hit,True,True,True,True,both_correct,both_correct
train_img3_ann18,defect_broken,val_img2_pred3,0.8379442140095794,True,defect_flashover,vlm_error_on_good_pred_crop,defect_broken,correct_pipeline_hit,defect_broken,correct_pipeline_hit,defect_broken,correct_pipeline_hit,False,True,True,True,helped,helped
train_img3_ann19,defect_broken,val_img2_pred4,0.9129047451448272,True,defect_broken,correct_pipeline_hit,defect_broken,correct_pipeline_hit,defect_broken,correct_pipeline_hit,defect_broken,correct_pipeline_hit,True,True,True,True,both_correct,both_correct
train_img3_ann20,insulator_ok,val_img2_pred19,0.9511996257556627,True,insulator_ok,correct_pipeline_hit,defect_broken,vlm_error_on_good_pred_crop,defect_broken,vlm_error_on_good_pred_crop,defect_broken,vlm_error_on_good_pred_crop,True,False,False,False,hurt,hurt
train_img5_ann45,insulator_ok,val_img3_pred3,0.9460915786431956,True,unknown,vlm_error_on_good_pred_crop,defect_flashover,vlm_error_on_good_pred_crop,insulator_ok,correct_pipeline_hit,defect_flashover,vlm_error_on_good_pred_crop,False,False,True,False,helped,both_wrong
train_img5_ann46,insulator_ok,val_img3_pred9,0.9635013335291798,True,defect_broken,vlm_error_on_good_pred_crop,insulator_ok,correct_pipeline_hit,insulator_ok,correct_pipeline_hit,insulator_ok,correct_pipeline_hit,False,True,True,True,helped,helped
train_img5_ann47,defect_flashover,val_img3_pred1,0.86536245204592,True,insulator_ok,vlm_error_on_good_pred_crop,defect_flashover,correct_pipeline_hit,insulator_ok,vlm_error_on_good_pred_crop,insulator_ok,vlm_error_on_good_pred_crop,False,True,False,False,both_wrong,helped
train_img5_ann48,defect_flashover,val_img3_pred4,0.9007596013496776,True,insulator_ok,vlm_error_on_good_pred_crop,defect_flashover,correct_pipeline_hit,insulator_ok,vlm_error_on_good_pred_crop,insulator_ok,vlm_error_on_good_pred_crop,False,True,False,False,both_wrong,helped
train_img5_ann49,defect_flashover,val_img3_pred2,0.9310105661866952,True,insulator_ok,vlm_error_on_good_pred_crop,defect_flashover,correct_pipeline_hit,insulator_ok,vlm_error_on_good_pred_crop,insulator_ok,vlm_error_on_good_pred_crop,False,True,False,False,both_wrong,helped
train_img5_ann50,defect_flashover,val_img3_pred8,0.9699633534149495,True,defect_flashover,correct_pipeline_hit,defect_flashover,correct_pipeline_hit,insulator_ok,vlm_error_on_good_pred_crop,defect_flashover,correct_pipeline_hit,True,True,False,True,hurt,both_correct
val_img9_ann1037,insulator_ok,val_img4_pred1,0.8966551844762687,True,defect_flashover,vlm_error_on_good_pred_crop,defect_flashover,vlm_error_on_good_pred_crop,insulator_ok,correct_pipeline_hit,defect_flashover,vlm_error_on_good_pred_crop,False,False,True,False,helped,both_wrong
val_img9_ann1038,defect_flashover,val_img4_pred2,0.904783805938398,True,defect_flashover,correct_pipeline_hit,defect_broken,vlm_error_on_good_pred_crop,defect_broken,vlm_error_on_good_pred_crop,defect_broken,vlm_error_on_good_pred_crop,True,False,False,False,hurt,hurt
val_img10_ann1039,insulator_ok,val_img5_pred15,0.9185322531228832,True,defect_flashover,vlm_error_on_good_pred_crop,defect_flashover,vlm_error_on_good_pred_crop,defect_flashover,vlm_error_on_good_pred_crop,defect_flashover,vlm_error_on_good_pred_crop,False,False,False,False,both_wrong,both_wrong
val_img10_ann1040,defect_flashover,val_img5_pred2,0.9354181807562244,True,defect_flashover,correct_pipeline_hit,defect_flashover,correct_pipeline_hit,defect_flashover,correct_pipeline_hit,defect_flashover,correct_pipeline_hit,True,True,True,True,both_correct,both_correct
val_img10_ann1041,defect_flashover,val_img5_pred10,0.882822100803888,True,defect_flashover,correct_pipeline_hit,defect_flashover,correct_pipeline_hit,defect_flashover,correct_pipeline_hit,defect_flashover,correct_pipeline_hit,True,True,True,True,both_correct,both_correct
val_img10_ann1042,insulator_ok,val_img5_pred9,0.9392756579106024,True,unknown,vlm_error_on_good_pred_crop,defect_flashover,vlm_error_on_good_pred_crop,defect_flashover,vlm_error_on_good_pred_crop,defect_flashover,vlm_error_on_good_pred_crop,False,False,False,False,both_wrong,both_wrong
val_img10_ann1043,insulator_ok,val_img5_pred3,0.930186892653274,True,defect_flashover,vlm_error_on_good_pred_crop,defect_flashover,vlm_error_on_good_pred_crop,insulator_ok,correct_pipeline_hit,defect_flashover,vlm_error_on_good_pred_crop,False,False,True,False,helped,both_wrong
val_img10_ann1044,insulator_ok,val_img5_pred1,0.9448785319412244,True,defect_flashover,vlm_error_on_good_pred_crop,defect_flashover,vlm_error_on_good_pred_crop,insulator_ok,correct_pipeline_hit,defect_flashover,vlm_error_on_good_pred_crop,False,False,True,False,helped,both_wrong
val_img17_ann1045,insulator_ok,val_img6_pred1,0.925326970190144,True,insulator_ok,correct_pipeline_hit,defect_flashover,vlm_error_on_good_pred_crop,defect_flashover,vlm_error_on_good_pred_crop,defect_flashover,vlm_error_on_good_pred_crop,True,False,False,False,hurt,hurt
val_img17_ann1046,insulator_ok,val_img6_pred5,0.9094938053377164,True,defect_flashover,vlm_error_on_good_pred_crop,defect_flashover,vlm_error_on_good_pred_crop,defect_flashover,vlm_error_on_good_pred_crop,defect_flashover,vlm_error_on_good_pred_crop,False,False,False,False,both_wrong,both_wrong
val_img17_ann1047,insulator_ok,val_img6_pred10,0.8827395832307318,True,insulator_ok,correct_pipeline_hit,defect_flashover,vlm_error_on_good_pred_crop,defect_flashover,vlm_error_on_good_pred_crop,defect_flashover,vlm_error_on_good_pred_crop,True,False,False,False,hurt,hurt
val_img17_ann1048,insulator_ok,val_img6_pred21,0.8783253803887184,True,insulator_ok,correct_pipeline_hit,defect_flashover,vlm_error_on_good_pred_crop,defect_flashover,vlm_error_on_good_pred_crop,defect_flashover,vlm_error_on_good_pred_crop,True,False,False,False,hurt,hurt
val_img17_ann1049,defect_flashover,val_img6_pred15,0.8805287743335943,True,defect_flashover,correct_pipeline_hit,defect_flashover,correct_pipeline_hit,defect_flashover,correct_pipeline_hit,defect_flashover,correct_pipeline_hit,True,True,True,True,both_correct,both_correct
