record_id,image_id,gt_coarse_class,gt_visibility,detector_found,matched_pred_record_id,matched_pred_score,matched_pred_category_name,match_iou,is_good_crop,pred_vlm_coarse_class,pred_vlm_visibility,vlm_correct_on_good_crop,raw_has_match_candidate,filtered_has_match_candidate,error_bucket,ceiling_coarse_class,ceiling_correct
train_img1_ann1,1,defect_broken,clear,True,val_img1_pred1,0.9996340274810791,defect_broken,0.7876757153884054,True,defect_flashover,clear,False,True,True,vlm_error_on_good_pred_crop,,False
train_img1_ann2,1,defect_broken,clear,True,val_img1_pred14,0.12202267348766327,defect_flashover,0.9287355472918607,True,defect_flashover,clear,False,True,True,vlm_error_on_good_pred_crop,,False
train_img1_ann3,1,insulator_ok,clear,True,val_img1_pred12,0.25475311279296875,defect_broken,0.9358399199436609,True,defect_flashover,clear,False,True,True,vlm_error_on_good_pred_crop,,False
train_img1_ann4,1,insulator_ok,clear,True,val_img1_pred3,0.9751725792884827,insulator_ok,0.959222385675818,True,insulator_ok,clear,True,True,True,correct_pipeline_hit,,False
train_img1_ann5,1,insulator_ok,clear,True,val_img1_pred4,0.9558013677597046,insulator_ok,0.8870217243522784,True,defect_flashover,clear,False,True,True,vlm_error_on_good_pred_crop,,False
train_img1_ann6,1,insulator_ok,clear,True,val_img1_pred5,0.9548222422599792,insulator_ok,0.9745897973602017,True,defect_flashover,clear,False,True,True,vlm_error_on_good_pred_crop,,False
train_img3_ann15,2,insulator_ok,clear,True,val_img2_pred18,0.13481488823890686,defect_broken,0.9418617945519979,True,insulator_ok,clear,True,True,True,correct_pipeline_hit,,False
train_img3_ann16,2,insulator_ok,clear,True,val_img2_pred1,0.998335063457489,insulator_ok,0.8931396693048876,True,defect_broken,clear,False,True,True,vlm_error_on_good_pred_crop,,False
train_img3_ann17,2,defect_broken,clear,True,val_img2_pred2,0.997852087020874,defect_broken,0.7968117538501568,True,defect_broken,clear,True,True,True,correct_pipeline_hit,,False
train_img3_ann18,2,defect_broken,clear,True,val_img2_pred3,0.9959755539894104,defect_broken,0.8379442140095794,True,defect_broken,clear,True,True,True,correct_pipeline_hit,,False
train_img3_ann19,2,defect_broken,clear,True,val_img2_pred4,0.9907119870185852,defect_broken,0.9129047451448273,True,defect_broken,clear,True,True,True,correct_pipeline_hit,,False
train_img3_ann20,2,insulator_ok,partial,True,val_img2_pred19,0.11487226188182831,defect_broken,0.9511996257556627,True,defect_broken,clear,False,True,True,vlm_error_on_good_pred_crop,,False
train_img5_ann45,3,insulator_ok,clear,True,val_img3_pred3,0.9321700930595398,insulator_ok,0.9460915786431955,True,defect_flashover,clear,False,True,True,vlm_error_on_good_pred_crop,,False
train_img5_ann46,3,insulator_ok,clear,True,val_img3_pred9,0.39345619082450867,defect_flashover,0.9635013335291798,True,insulator_ok,clear,True,True,True,correct_pipeline_hit,,False
train_img5_ann47,3,defect_flashover,clear,True,val_img3_pred1,0.9685579538345337,defect_flashover,0.86536245204592,True,defect_flashover,clear,True,True,True,correct_pipeline_hit,,False
train_img5_ann48,3,defect_flashover,clear,True,val_img3_pred4,0.8994629979133606,insulator_ok,0.9007596013496775,True,defect_flashover,clear,True,True,True,correct_pipeline_hit,,False
train_img5_ann49,3,defect_flashover,clear,True,val_img3_pred2,0.9339455962181091,insulator_ok,0.9310105661866952,True,defect_flashover,clear,True,True,True,correct_pipeline_hit,,False
train_img5_ann50,3,defect_flashover,clear,True,val_img3_pred8,0.597739577293396,insulator_ok,0.9699633534149495,True,defect_flashover,clear,True,True,True,correct_pipeline_hit,,False
val_img9_ann1037,4,insulator_ok,ambiguous,True,val_img4_pred1,0.9796941876411438,insulator_ok,0.8966551844762687,True,defect_flashover,clear,False,True,True,vlm_error_on_good_pred_crop,,False
val_img9_ann1038,4,defect_flashover,ambiguous,True,val_img4_pred2,0.8604360818862915,defect_flashover,0.9047838059383981,True,defect_broken,clear,False,True,True,vlm_error_on_good_pred_crop,,False
val_img10_ann1039,5,insulator_ok,ambiguous,True,val_img5_pred15,0.05642015114426613,defect_flashover,0.9185322531228832,True,defect_flashover,ambiguous,False,True,True,vlm_error_on_good_pred_crop,,False
val_img10_ann1040,5,defect_flashover,ambiguous,True,val_img5_pred2,0.996304988861084,defect_flashover,0.9354181807562244,True,defect_flashover,ambiguous,True,True,True,correct_pipeline_hit,,False
val_img10_ann1041,5,defect_flashover,ambiguous,True,val_img5_pred10,0.23892627656459808,defect_broken,0.882822100803888,True,defect_flashover,ambiguous,True,True,True,correct_pipeline_hit,,False
val_img10_ann1042,5,insulator_ok,ambiguous,True,val_img5_pred9,0.2649228870868683,defect_flashover,0.9392756579106023,True,defect_flashover,ambiguous,False,True,True,vlm_error_on_good_pred_crop,,False
val_img10_ann1043,5,insulator_ok,ambiguous,True,val_img5_pred3,0.9959012866020203,insulator_ok,0.9301868926532739,True,defect_flashover,ambiguous,False,True,True,vlm_error_on_good_pred_crop,,False
val_img10_ann1044,5,insulator_ok,ambiguous,True,val_img5_pred1,0.9974526762962341,insulator_ok,0.9448785319412244,True,defect_flashover,ambiguous,False,True,True,vlm_error_on_good_pred_crop,,False
val_img17_ann1045,6,insulator_ok,clear,True,val_img6_pred1,0.9744985103607178,insulator_ok,0.9253269701901439,True,defect_flashover,clear,False,True,True,vlm_error_on_good_pred_crop,,False
val_img17_ann1046,6,insulator_ok,clear,True,val_img6_pred5,0.9466348886489868,insulator_ok,0.9094938053377164,True,defect_flashover,clear,False,True,True,vlm_error_on_good_pred_crop,,False
val_img17_ann1047,6,insulator_ok,clear,True,val_img6_pred10,0.8620185852050781,insulator_ok,0.8827395832307318,True,defect_flashover,clear,False,True,True,vlm_error_on_good_pred_crop,,False
